Ticker,Timeframe,Risk,Reward,Win Rate (%),Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk:Reward Ratio,Profit Factor
SPY,1hour,1,1,48.064516129032256,0.9963749322872937,-0.14983765323615292,0.48172566510330617,-0.44581045701538297,5.292002954732045e-06,0.3276955602536998,0.13347744474113837,0.004860084068098897,71.77712410039263,-71.77548357947666,149,310,1.0,1.0000228562851012
SPY,1hour,2,1,67.4927113702624,1.0392285919994249,-0.06887697005681956,0.36318387958308224,-0.7320689201574052,0.007146890746159878,0.7160751565762005,0.289335188178262,0.005540739795937916,168.15413624696706,-163.25136919510138,463,686,0.5,1.0300320118357256
SPY,1hour,3,1,75.77639751552795,1.0093356531531832,-0.04626172164436133,0.32310340148861827,-0.9979974439426652,0.0030851842723446125,0.8394160583941606,0.4316559662606185,0.006199335928775427,197.09307490805716,-194.60950156881972,610,805,0.3333333333333333,1.0127618298141479
SPY,1hour,4,1,79.91858887381275,0.9803442911752367,-0.034466725938599986,0.3176256906462063,-1.26514956359212,-0.00021791536094733558,0.7677083333333333,0.5803330200043348,0.00701016977277283,187.08153179061554,-187.24213541163374,589,737,0.25,0.9991422677344225
SPY,1hour,5,1,83.73751783166904,0.9581380324014493,-0.029361577398457028,0.3073029304684052,-1.6014288078272334,-0.003104228113196551,0.7302083333333333,0.6822195554856195,0.007701288779643056,180.38682018495385,-182.5628840923046,587,701,0.2,0.9880804692686026
SPY,1hour,6,1,85.19061583577712,0.881212729677418,-0.02706168101363486,0.30696701280231636,-1.8670958523484775,-0.014998308869575401,0.7104166666666667,0.7445946568708467,0.008365571827275837,178.3478344381458,-188.57668108719622,581,682,0.16666666666666666,0.9457576271356654
SPY,1hour,7,1,87.01517706576728,0.881856059478872,-0.023336145600641008,0.30020727982159995,-2.144023127670375,-0.017171710695907828,0.6177083333333333,0.8643979795191624,0.00891001926746776,154.90695638794557,-165.08978083061888,516,593,0.14285714285714285,0.93831947446147
SPY,1hour,8,1,87.99212598425197,0.7890187305653642,-0.01977115013265353,0.29035996449970153,-2.47559235673896,-0.04177210557029524,0.5291666666666667,1.0327027471194792,0.0097753309797159,129.79090413136657,-151.01113376107656,447,508,0.125,0.8594790390536121
SPY,1hour,9,1,89.88095238095238,0.9921778455602651,-0.019529151190867174,0.2995703696403601,-2.6305208378003018,0.0030730450779122035,0.5255474452554745,1.0225364816961182,0.009536496097305251,135.7053774470831,-134.1565627278154,453,504,0.1111111111111111,1.0115448300685075
SPY,1hour,10,1,90.6930693069307,0.9324216058960352,-0.0181290124526425,0.2998335670804339,-3.0124161829136025,-0.008435221532872468,0.5260416666666666,1.1078569374804095,0.01030308226052673,137.32377372283872,-141.5835605969393,458,505,0.1,0.9699132663697634
SPY,1hour,1,2,38.141025641025635,1.3932738803306288,-0.133763746532678,0.7501866123205548,-0.37381452891734007,0.05489103456762632,0.6527196652719666,0.14541376238719442,0.005891480094224932,178.54441373229207,-144.29240816209327,238,624,2.0,1.2373791248374013
SPY,1hour,2,2,54.57142857142857,1.29931592225292,-0.06912906554461218,0.7964938831175674,-0.7843583464421618,0.07833529883186183,0.36649214659685864,0.27798216076391186,0.008374289881467949,152.13033167545538,-124.71297708430373,191,350,1.0,1.219843638025079
SPY,1hour,3,2,63.56382978723404,1.2573341406069507,-0.048377506791784784,0.7276220841039582,-1.0898576802952535,0.06540206356488376,0.393717277486911,0.39989616347149987,0.009467216632696254,173.90167810084603,-149.31050220044972,239,376,0.6666666666666666,1.1646982331315354
SPY,1hour,4,2,67.02586206896551,1.0583860452603358,-0.035996075855429945,0.6795207165660286,-1.327872513351778,0.01760010411468291,0.48586387434554973,0.5507266691644878,0.010347209306387566,211.33094285203492,-203.164494542822,311,464,0.5,1.0401962376722849
SPY,1hour,5,2,72.2943722943723,1.0710226541414314,-0.030818319636607656,0.6257337908532867,-1.5583606965615915,0.02061670343098273,0.48125,0.6422748936051009,0.010706745038377036,208.99508614499774,-199.4701691598837,334,462,0.4,1.0477510849127492
SPY,1hour,6,2,74.25287356321839,0.9323695787224598,-0.025822418526546504,0.63609466966937,-1.8687354982152355,-0.008827120682528422,0.453125,0.7779391843631424,0.012009345386209678,205.45857830320654,-209.29837580010638,323,435,0.3333333333333333,0.9816539546366709
SPY,1hour,7,2,77.29729729729729,0.9442601038753436,-0.022399762056456947,0.6278936762205486,-2.169450763020855,-0.007179115391013287,0.3854166666666667,0.896071623587816,0.012832588499292587,179.5775913990769,-182.2338640937518,286,370,0.2857142857142857,0.9854238249960592
SPY,1hour,8,2,79.1044776119403,0.9240609510709331,-0.020131468438928993,0.6292778113500601,-2.449760366056337,-0.014103300346798856,0.3489583333333333,1.0004751051602625,0.013675854742807414,166.75862000776593,-171.4832256239436,265,335,0.25,0.9724485844082583
SPY,1hour,9,2,82.16560509554141,1.0602432538864517,-0.019242470259210817,0.6140052066287001,-2.6714488477350806,0.02806435616891749,0.32708333333333334,1.0247830020094086,0.013640002210071547,158.41334331020462,-149.6011354731645,258,314,0.2222222222222222,1.058904685510364
SPY,1hour,10,2,84.17266187050359,1.1002696338026952,-0.016602664087126243,0.5974981206727834,-2.898347235557935,0.04419885565784955,0.290491118077325,1.1780044058463393,0.013900969207055107,139.8145602374313,-127.52727836454913,234,278,0.2,1.0963502242850174
