timestamp,open,high,low,close,volume,trade_count,vwap
2015-12-01 08:00:00+00:00,209.43,209.65,209.07,209.44,129269,309,209.34695
2015-12-01 12:00:00+00:00,209.45,210.39,209.11,209.89,33764235,125384,209.753806
2015-12-01 16:00:00+00:00,209.9,210.2,209.47,210.045,35820667,140173,209.748665
2015-12-01 20:00:00+00:00,210.05,210.82,210.025,210.5,27992916,71753,210.343665
2015-12-02 00:00:00+00:00,210.51,210.63,210.49,210.62,80281,119,210.578613
2015-12-02 08:00:00+00:00,210.89,211.11,210.76,210.78,48321,110,210.955525
2015-12-02 12:00:00+00:00,210.81,211.0,210.45,210.6,19901365,74490,210.693819
2015-12-02 16:00:00+00:00,210.59,210.61,208.27,208.39,52608131,185769,209.751464
2015-12-02 20:00:00+00:00,208.3899,213.54,208.23,208.88,35457123,106475,208.647962
2015-12-03 00:00:00+00:00,208.85,208.97,208.75,208.94,53227,141,208.878614
2015-12-03 08:00:00+00:00,209.54,210.23,209.37,209.97,216547,544,209.937487
2015-12-03 12:00:00+00:00,209.98,210.05,207.24,207.76,43261569,159232,208.188427
2015-12-03 16:00:00+00:00,207.77,208.38,204.7511,205.535,70886178,256031,206.67304
2015-12-03 20:00:00+00:00,205.54,206.47,204.8,206.0,51706597,130626,206.054457
2015-12-04 00:00:00+00:00,206.1,206.4,206.1,206.37,151888,265,206.297226
2015-12-04 08:00:00+00:00,206.81,206.9,206.42,206.64,108578,339,206.684018
2015-12-04 12:00:00+00:00,206.61,208.39,205.4,208.355,51084355,193399,207.136929
2015-12-04 16:00:00+00:00,208.35,209.85,207.58,209.8199,88248044,251824,208.113996
2015-12-04 20:00:00+00:00,209.82,209.97,208.5673,209.56,53215089,111039,209.282503
2015-12-05 00:00:00+00:00,209.6,209.62,209.56,209.61,21111,86,209.597537
2015-12-07 08:00:00+00:00,209.9,210.25,209.78,209.95,99650,185,209.983329
2015-12-07 12:00:00+00:00,210.0,210.15,207.5,207.8002,36391473,135066,208.611464
2015-12-07 16:00:00+00:00,207.8,208.19,207.2,207.575,40331736,166360,207.913768
2015-12-07 20:00:00+00:00,207.58,208.92,207.34,208.6,25122763,72925,208.364392
2015-12-08 00:00:00+00:00,208.6,208.62,208.48,208.52,79856,130,208.550932
2015-12-08 08:00:00+00:00,207.96,207.96,207.29,207.38,116140,367,207.561451
2015-12-08 12:00:00+00:00,207.37,208.14,205.78,207.21,39118172,142016,206.578015
2015-12-08 16:00:00+00:00,207.215,208.04,206.48,207.1472,39984002,169343,207.261195
2015-12-08 20:00:00+00:00,207.14,208.289,206.55,207.03,24001074,75745,207.10399
2015-12-09 00:00:00+00:00,207.0,207.25,206.93,207.2,152084,280,207.105829
2015-12-09 08:00:00+00:00,206.89,206.89,206.0,206.78,147782,396,206.401468
2015-12-09 12:00:00+00:00,206.71,208.68,205.71,208.15,36525254,145215,207.566844
2015-12-09 16:00:00+00:00,208.15,208.23,204.18,204.69,86896484,341158,205.62294
2015-12-09 20:00:00+00:00,204.68,208.26,204.6,205.47,38698841,99043,205.513147
2015-12-10 00:00:00+00:00,205.49,205.72,205.42,205.42,132116,344,205.573869
2015-12-10 08:00:00+00:00,205.55,206.11,205.42,205.5,84274,365,205.791279
2015-12-10 12:00:00+00:00,205.67,206.99,205.14,206.48,33182269,136695,205.928488
2015-12-10 16:00:00+00:00,206.475,207.43,205.5505,206.93,46452417,168808,206.276179
2015-12-10 20:00:00+00:00,206.93,207.01,205.55,205.82,36283293,98607,206.041509
2015-12-11 00:00:00+00:00,205.86,206.23,205.86,206.13,125089,350,206.110002
2015-12-11 08:00:00+00:00,205.5,205.84,204.0,204.22,251560,732,204.595966
2015-12-11 12:00:00+00:00,204.27,205.82,202.75,203.069,64570765,213938,203.875984
2015-12-11 16:00:00+00:00,203.05,203.55,202.0,202.46,73310165,283711,202.944074
2015-12-11 20:00:00+00:00,202.47,202.69,201.21,201.32,73002099,171294,202.710928
2015-12-12 00:00:00+00:00,201.32,201.37,201.2,201.22,36689,185,201.27242
2015-12-14 08:00:00+00:00,202.5,203.3,201.25,201.88,576571,1227,202.189837
2015-12-14 12:00:00+00:00,201.87,203.05,200.79,201.384,60206984,275576,201.739663
2015-12-14 16:00:00+00:00,201.37,202.57,199.95,202.15,77996578,328844,201.382735
2015-12-14 20:00:00+00:00,202.15,203.47,201.2161,203.31,43336746,120295,202.308982
2015-12-15 00:00:00+00:00,203.3,203.37,202.9,203.1,172943,632,202.623485
