,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,1,1,49.48734044779243,0.9935986478925768,0.9659200024532938,-0.5145193121750874,0.05050074786475874,-0.04979442217620983,-0.0001610099253434048,41.921052631578945,0.038874362197792535,0.0006384418086058659,477.7370748006176,-480.8149405334822,9460,19116,2.0,1.0
1,2,1,64.71775889627324,0.9566682521835689,0.8189450176872884,-0.26523929441006394,0.05578623156325702,-0.10696285089943598,-0.0016352921053334074,26.06798245614035,0.07546526228541293,0.0009484008117590818,429.1634794161363,-448.6021966722346,7693,11887,2.0,0.5
2,3,1,72.58298871129988,0.9241097100048896,0.726630326464935,-0.17840218394258817,0.05863015598664733,-0.1679624698202853,-0.0034947698102014172,19.62061403508772,0.11230214370329394,0.0012188685195486273,380.74423297728777,-412.0119384691599,6494,8947,2.0,0.3333333333333333
3,4,1,78.12041116005874,0.9370911703679718,0.8023653709105578,-0.1309662308236295,0.059688706529123385,-0.22742368162480203,-0.003130303507491727,14.93421052631579,0.15295013767366347,0.001433757110736467,317.54391873493637,-338.8612856209551,5320,6810,2.0,0.25
4,5,1,80.16930553378272,0.8879267777293062,0.6859367145654813,-0.10766186507412727,0.05719428869040611,-0.2604028348828663,-0.0057874265189040664,13.989035087719298,0.18630435439121185,0.0015595727121187715,292.49159236273687,-329.4095861268259,5114,6379,2.0,0.2
5,6,1,82.88362853832147,0.8982206347180666,0.7243105207913901,-0.09228862498983442,0.055386197467246656,-0.29859021708634204,-0.005201720534476688,13.24780701754386,0.21727506729625123,0.0016540360080037834,277.318690718504,-308.74228446727767,5007,6041,2.0,0.16666666666666666
6,7,1,84.84610860615565,0.8916114097617343,0.7384828488049702,-0.0758065356683819,0.055981894985828035,-0.3515440372463105,-0.005774142186381933,11.18640350877193,0.26459118920309255,0.0018333385509731036,242.2896414986637,-271.743540791398,4328,5101,2.0,0.14285714285714285
7,8,1,86.71742808798646,0.9161311854237193,0.8017153023459385,-0.06572758765238716,0.05645692951563117,-0.4023312817676766,-0.004481944571914778,10.368421052631579,0.3049681292386689,0.0019558638620825962,231.47341101408782,-252.66404495010087,4100,4728,2.0,0.125
8,9,1,87.92435634540897,0.9180916676423191,0.8170500028182609,-0.058038990728537285,0.05595174340670589,-0.44373786186658315,-0.004388992705128984,9.625,0.34535214474699466,0.002065386633756796,215.91777780647803,-235.18106678928908,3859,4389,2.0,0.1111111111111111
9,10,1,88.91852570320079,0.9017844493317434,0.7934800875156962,-0.05109168403111477,0.055397763924837674,-0.4929288114448859,-0.005364904587277664,9.043859649122806,0.3925031915890682,0.002202452027600947,203.14360031237976,-225.26846683031283,3667,4124,2.0,0.1
