,Probability Threshold,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
10,0.6,8,10,49.122807017543856,1.3118141108548567,1.1768598512343798,-0.015561940753108615,2.771660587054594,-2.039988792549894,0.32362844655406553,0.1958762886597938,1.0772252510414335,0.027753546249923176,77.60649643752863,-59.15967498394692,28,57,2.0,1.25
11,0.61,8,10,50.0,1.4149699109501024,1.2250445023150307,-0.016728213024425787,2.820404776020347,-1.9932613083811404,0.4135717338196035,0.18620689655172415,0.9483548923390474,0.02759001717920491,76.15092895254936,-53.81805532629079,27,54,2.0,1.25
12,0.62,8,10,50.0,1.419334533228104,1.2209084099223497,-0.0164278344276404,2.8598982203477865,-2.014957117856701,0.42247055124554267,0.1793103448275862,0.9602783956114198,0.027940292428067635,74.35735372904246,-52.388885064274234,26,52,2.0,1.25
13,0.63,8,10,51.06382978723404,1.4872800380231208,1.2337435327133077,-0.014909622711312598,2.914415141680316,-2.0447587312035362,0.4875853740988563,0.16549295774647887,1.0143882613163693,0.028615813175975148,69.94596340032759,-47.02945081768134,24,47,2.0,1.25
14,0.64,8,10,50.0,1.4888566693067629,1.2149944494663543,-0.014282938021948695,3.089334983565725,-2.074971383917145,0.5071817998242899,0.14788732394366197,1.0451758579934223,0.029643392359869264,64.87603465488021,-43.57439906226004,21,42,2.0,1.25
15,0.65,8,10,52.5,1.6048567801729006,1.2541850929780027,-0.012767897001353605,3.089334983565725,-2.1276217179720365,0.6112805503352882,0.14084507042253522,1.0876649847014626,0.03000753476449603,64.87603465488021,-40.42481264146869,21,40,2.0,1.25
16,0.66,8,10,54.285714285714285,1.902853508827071,1.3023157049635012,-0.011956541830140286,3.100930223076188,-1.935175053056394,0.7987106682727216,0.12323943661971831,1.004713025549783,0.029291350379340067,58.91767423844757,-30.962800848902305,19,35,2.0,1.25
17,0.67,8,10,51.515151515151516,1.753571784554179,1.244399796627809,-0.012868835790395735,3.1938525846708976,-1.935175053056394,0.7070513057728168,0.11619718309859155,1.004713025549783,0.029715784115280124,54.29549393940526,-30.962800848902305,17,33,2.0,1.25
18,0.68,8,10,53.333333333333336,1.8523740541071003,1.2548122946427782,-0.0115987197001259,3.2772614626050385,-2.021968329368568,0.8042875596840215,0.1056338028169014,1.0309003676526465,0.030636667622395693,52.436183401680616,-28.307556611159956,16,30,2.0,1.25
19,0.69,8,10,57.14285714285714,2.054584783850572,1.290515834010139,-0.009595299094200822,3.2772614626050385,-2.126795635053167,0.9612369921800932,0.09859154929577464,1.0825749125920539,0.031141763151406713,52.436183401680616,-25.521547620638003,16,28,2.0,1.25
20,0.7,8,10,56.52173913043478,2.1175659545435126,1.2221276114270017,-0.012087629598969446,3.0734293379730335,-1.8868163850066486,0.916800762764476,0.08098591549295775,0.8961221291293326,0.02945609782965607,39.954581393649434,-18.868163850066484,13,23,2.0,1.25
21,0.71,8,10,60.0,2.168207476381563,1.2021293336622172,-0.01130181988906843,2.9917129380263465,-2.06971401764957,0.96714215575598,0.07722007722007722,0.9138863071451363,0.03011934002644339,35.90055525631616,-16.55771214119656,12,20,2.0,1.25
22,0.72,8,10,62.5,2.195175270886361,1.176960761382443,-0.015151694479147422,3.1517161503758495,-2.392911545739777,1.0724807643324892,0.06779661016949153,0.6121554502989832,0.032570564786608025,31.517161503758494,-14.35746927443866,10,16,2.0,1.25
23,0.73,8,10,60.0,2.0885763226202076,1.159219017211448,-0.015650489744154686,3.3318522643710797,-2.392911545739777,1.0419467403267368,0.07894736842105263,0.6121554502989832,0.033690025568039156,29.98667037933972,-14.35746927443866,9,15,2.0,1.25
24,0.74,8,10,53.84615384615385,1.8683942773331341,1.1234352766963223,-0.017004298045388964,3.832201918478214,-2.392911545739777,0.9590726273006799,0.08074534161490683,0.6121554502989832,0.036288900568094355,26.8254134293475,-14.35746927443866,7,13,2.0,1.25
25,0.75,8,10,50.0,1.5240463214782538,1.0705096520787738,-0.0224289721302902,3.646908038907549,-2.392911545739777,0.6269982465838858,0.07453416149068323,0.6121554502989832,0.03578006898434426,21.881448233445294,-14.35746927443866,6,12,2.0,1.25
26,0.76,8,10,50.0,1.6622022704647075,1.080164811299672,-0.020839143681275197,4.219385880998685,-2.5384310658046796,0.8404774075970025,0.062111801242236024,0.5564156618608446,0.0387424868094905,21.096929404993425,-12.692155329023397,5,10,2.0,1.25
27,0.77,8,10,44.44444444444444,1.446200264827487,1.0513419458649425,-0.024635373589632654,4.588849599516309,-2.5384310658046796,0.6292492298935377,0.055900621118012424,0.5564156618608446,0.040477256685311214,18.355398398065237,-12.692155329023397,4,9,2.0,1.25
