,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,1,1,50.88942649779422,1.259907271403716,7.310459333162597,-0.14638205870248547,0.2741756165938177,-0.22549805341827903,0.028783011611357823,49.836879432624116,0.13466247201749268,0.003067045483708415,980.452004939492,-778.1937823464808,3576,7027,2.0,1.0
1,2,1,68.78836454627204,1.049497042921284,3.4624542232726934,-0.04244012874191728,0.17680910990274767,-0.37129737335575336,0.0057361124498558624,181.39716312056737,0.469900527323436,0.004173898042172767,3110.7794796289427,-2964.066931498979,17594,25577,2.0,0.5
2,3,1,77.88071800810654,1.1751955840671557,279.06551058581806,-0.024136229957527063,0.20130596677462126,-0.6031223441319405,0.023372200262573414,183.72340425531914,0.8189463736531066,0.005639649318902744,4061.3478796779846,-3455.89103187602,20175,25905,2.0,0.3333333333333333
3,4,1,82.6667720518495,1.2324159596492619,1940.3259371979855,-0.019066072698026997,0.20509873825313804,-0.7937015094000948,0.031974414580711596,179.46099290780143,1.03221340681395,0.006310693799203382,4290.2554067791425,-3481.174820228816,20918,25304,2.0,0.25
4,5,1,85.47830374753451,1.2554817376532725,12274.19883870705,-0.017824257635326808,0.20282229249296924,-0.9509196772391827,0.035279388111253925,201.36170212765958,1.1022734590610752,0.0063984855233329705,4922.294216511871,-3920.6418292571498,24269,28392,2.0,0.2
5,6,1,87.69034681693164,1.270434620459948,34859.63762505766,-0.015883397454878143,0.20025869144496256,-1.1229101940125177,0.03738119061887573,211.4468085106383,1.2356416912417945,0.006656384711864104,5235.563229137101,-4121.08041202594,26144,29814,2.0,0.16666666666666666
6,7,1,89.14137207210209,1.298560783573766,130823.499054007,-0.016024385557805707,0.20271739113074824,-1.2815427191914148,0.041547108268657484,212.8581560283688,1.2221703507235897,0.006654375857829579,5423.501082312038,-4176.547721844821,26754,30013,2.0,0.14285714285714285
7,8,1,90.4418114615358,1.3602392371459802,669004.6621848514,-0.016424036313935384,0.2027146241669485,-1.4101439279415104,0.04855456289767822,205.31205673758865,1.1881643463285387,0.00656157776160952,5307.474289939046,-3901.8682486141593,26182,28949,2.0,0.125
8,9,1,91.49564050972502,1.403312713010622,4471034.922940231,-0.014977012043415288,0.2042924660233867,-1.5662341277377971,0.053720519619015104,211.48936170212767,1.2995111940479982,0.006763755251045258,5573.915642982083,-3971.969747943054,27284,29820,2.0,0.1111111111111111
9,10,1,92.42331838565022,1.4763268079807856,11899344.59958823,-0.013261117127983467,0.20453901129646265,-1.6900368180755065,0.06099303276252186,197.6950354609929,1.4621746784407825,0.006984356199367089,5269.538548030767,-3569.3577597754697,25763,27875,2.0,0.1
10,1,2,35.65909090909091,1.124373611442964,2.947355237453756,-0.08652114511343627,0.6620322704729299,-0.3263259337053554,0.026113616830037698,31.20567375886525,0.2281391884702909,0.005567615552800137,1038.728632372027,-923.8287183198612,1569,4400,2.0,2.0
11,2,2,52.71073802028682,1.2184000735254745,5.285280631141907,-0.049431742848761194,0.6434324329527803,-0.5886397586278493,0.06079458649702257,20.27659574468085,0.39229962403633434,0.007127800132836685,969.6526764598399,-795.8409536648523,1507,2859,2.0,1.0
12,3,2,60.73047484580516,0.7732846761990616,2.1833759223098097e-08,-0.020043257481920537,0.3473135009911557,-0.6945976165936747,-0.06184004741317189,190.87943262411346,1.028695085752901,0.008437623893185068,5676.83917370044,-7341.202209778548,16345,26914,2.0,0.6666666666666666
13,4,2,67.13346867150672,0.7970495060868623,2.410541953707727e-09,-0.016414646379495624,0.3687603871837186,-0.9450269209897203,-0.06303593004687309,206.12056737588654,1.256826301554639,0.010081264242270644,7194.883914341534,-9026.897149293807,19511,29063,2.0,0.5
14,5,2,72.67547539149888,0.9805176106133738,0.042640321942766124,-0.015420745606331332,0.38920865162247836,-1.0557530718956503,-0.005620270103654505,202.89361702127658,1.3005987656525522,0.010266304734405611,8092.037075882948,-8252.821763008298,20791,28608,2.0,0.4
15,6,2,76.24331285912423,1.0473439322294777,10.932321421775233,-0.01421860285416901,0.3972356409928317,-1.217235940155677,0.01369067848103028,214.7659574468085,1.3969792544958577,0.010606524730627648,9171.376479242499,-8756.79535347994,23088,30282,2.0,0.3333333333333333
16,7,2,78.99101131049122,1.1172361644366235,3437.564513088913,-0.013654483141562217,0.3965496914160087,-1.3345202184715,0.032869409840252266,213.82269503546098,1.440648151794259,0.010662886751590052,9443.830901072248,-8452.85106379848,23815,30149,2.0,0.2857142857142857
17,8,2,80.90639672338582,1.16727357818175,277796.4743302141,-0.013649279213271012,0.41220673061271,-1.4963644734913621,0.04779171664938053,212.98581560283688,1.4302647435422915,0.010840591348174854,10015.386933697017,-8580.15389099947,24297,30031,2.0,0.25
