,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,10,10,58.15458814570377,1.6271145808440015,26625175147804.566,-0.014645375182793805,1.85029346045949,-1.5803694097621501,0.4147184530828245,19.21707317073171,1.0824451590558444,0.02083897037983222,8478.044635825385,-5210.477943985809,4582,7879,2.0,1.0
1,10,20,43.11418685121107,1.9963312978923444,1.2137060507874562e+25,-0.010601036219938857,3.975704059475664,-1.5093767737449697,0.8554712256297398,22.23076923076923,1.0796385849692547,0.03297374376335375,12384.318145266694,-6203.538540091826,3115,7225,2.0,2.0
2,20,10,79.35303959843837,2.4547263242122717,4.276109992675405e+32,-0.006318217168143532,1.850952791979656,-2.898008830528061,0.8704365662951293,21.865853658536587,1.78778823779615,0.02392019649204059,13167.678162143273,-5364.214345307441,7114,8965,2.0,0.5
3,20,20,67.35446843399836,2.7586582714293115,2.872815224635189e+51,-0.0012547861658371402,4.0029377190999895,-2.9938055960944774,1.7188136715460698,17.633734939759037,2.240910332848105,0.04190025564528082,19730.480017443846,-7152.201569069706,4929,7318,2.0,1.0
