,Probability Threshold,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,0.5,4,10,40.18171704060819,1.8966080494482014,7390121250.168581,-0.03353357032923186,2.309060572326157,-0.8178097510708134,0.4386204345033076,12.995180722891567,0.4656168580223048,0.01826384701823906,5003.734260230782,-2638.254256954444,2167,5393,2.0,2.5
1,0.51,4,10,40.27270981371231,1.9247037746642675,6531507652.376794,-0.0333550176891748,2.3340484262214334,-0.8176811871894097,0.4516057341323758,12.731051344743276,0.46421629282185856,0.018405226166991053,4894.499549786346,-2542.9884921590647,2097,5207,2.0,2.5
2,0.52,4,10,40.52872192407076,1.958355874205398,6146869517.019961,-0.03302274288902237,2.3486941754682427,-0.817316924915573,0.4658269100441965,12.30073349633252,0.4645807573015999,0.0185067163182184,4788.987423779747,-2445.4122393473945,2039,5031,2.0,2.5
3,0.53,4,10,40.565253532834575,1.9806448698113606,3858916116.395633,-0.032817440040802046,2.37423185940205,-0.8181450275567184,0.4768507503617178,11.765281173594133,0.4641279904052678,0.01865128420344392,4634.500589552801,-2339.8947788122146,1952,4812,2.0,2.5
4,0.54,4,10,40.77837837837838,2.002305028529218,2672971369.6987257,-0.032437874257127866,2.389400745514366,-0.821690778273243,0.4877402733729043,11.308068459657703,0.466201858555757,0.018778676078203452,4506.409806040095,-2250.6110416904125,1886,4625,2.0,2.5
5,0.55,4,10,40.97285067873303,2.018966866642161,1580867543.1634068,-0.032184173552626406,2.4079198369988277,-0.8278605811208545,0.4979308978870063,10.80684596577017,0.4667104779486924,0.018919093976977486,4360.742824804877,-2159.8882561443093,1811,4420,2.0,2.5
6,0.56,4,10,40.8274231678487,2.006348848118555,618960706.048832,-0.032046807223732834,2.4295220626309963,-0.8354989112205882,0.49752501829281287,10.342298288508557,0.4688376508828944,0.019048482417246788,4195.784602163731,-2091.2537747851325,1727,4230,2.0,2.5
7,0.57,4,10,41.06922887410692,2.016895958635941,351912551.8513413,-0.031684744858060124,2.4339115611295985,-0.8409994705061713,0.503981236499699,9.924205378973106,0.47215742787328663,0.01914305151852483,4057.3305724030406,-2011.6707334507616,1667,4059,2.0,2.5
8,0.58,4,10,41.138753526545266,2.0119207350567945,162326510.94570842,-0.03167607140382939,2.436195474543182,-0.8462972694725414,0.5040793300148197,12.033950617283951,0.4722557450114648,0.01916816754215641,3907.6575411672643,-1942.2522334394823,1604,3899,2.0,2.5
9,0.59,4,10,41.03937851593892,2.0057839826404273,70235550.5035258,-0.03165686203965519,2.4456774136294333,-0.8486990901974696,0.5032925529482083,11.521604938271604,0.4727908423699515,0.019220850506808423,3746.777797680292,-1867.9866975246305,1532,3733,2.0,2.5
10,0.6,4,10,41.07848673066064,2.022294072316881,40514504.469369024,-0.03161441259957514,2.4762043583275903,-0.8536556499023504,0.5142004517279614,10.932098765432098,0.46997537708228876,0.019375350736121493,3602.877341366644,-1781.5793413462054,1455,3542,2.0,2.5
11,0.61,4,10,41.26843657817109,2.0337784688837197,24880424.30899257,-0.03129432342776883,2.4896832158764153,-0.8601751675907278,0.5222590148489575,10.462962962962964,0.47220736008619946,0.019494954475226034,3483.0668190111046,-1712.6087586731392,1399,3390,2.0,2.5
12,0.62,4,10,41.43697739238154,2.0602220909998876,16609616.83807308,-0.0308972243007356,2.5093364771254834,-0.8618058638179888,0.5350936258637597,9.966049382716049,0.47412232240595276,0.01961989976431644,3357.492206393897,-1629.674888479817,1338,3229,2.0,2.5
13,0.63,4,10,41.174561972744975,2.030511818409044,6137213.286130558,-0.03116584546659087,2.5245047447916007,-0.8702308751546803,0.5275366464909492,10.138157894736842,0.4724605835216312,0.019740238739908544,3203.596521140541,-1577.7285766554355,1269,3082,2.0,2.5
14,0.64,4,10,41.12466124661246,2.0212930890349208,3017539.3676708187,-0.031109900811863295,2.531045674519232,-0.874660684948364,0.5259245184370225,9.710526315789474,0.4738284093149088,0.019798618892227508,3072.689448866347,-1520.1602704402567,1214,2952,2.0,2.5
15,0.65,4,10,41.12615823235923,2.019072235217974,1481450.1265815857,-0.031126376841505533,2.5387336722714853,-0.8783367463129226,0.5269730409452409,9.230263157894736,0.47324073937527744,0.01985033618944439,2929.6986578012943,-1451.0123049089482,1154,2806,2.0,2.5
16,0.66,4,10,40.93632958801498,2.0013012420983576,663511.0490467201,-0.031037952058915828,2.552683190053568,-0.8840420483428363,0.5228271222816094,8.782894736842104,0.47592472432280347,0.019936647185639703,2790.08272672855,-1394.1343102366527,1093,2670,2.0,2.5
17,0.67,4,10,40.73488739628605,1.9998244558850315,339268.8500409348,-0.030978620793125414,2.5734842773546136,-0.884498397561731,0.5241069512485222,8.325657894736842,0.4764230979188715,0.02004193257730598,2653.262289952607,-1326.7475963425966,1031,2531,2.0,2.5
18,0.68,4,10,40.151196976060476,1.977417915274145,127219.98266268164,-0.03107377880000248,2.5928678150604045,-0.8796804499979046,0.5145892439944278,7.832236842105263,0.4780270740697471,0.020057896846946883,2478.7816311977467,-1253.5446412470142,956,2381,2.0,2.5
19,0.69,4,10,39.74130240856378,1.9794657636003277,71518.68196085491,-0.03093967807253364,2.6439599796697744,-0.8809053294907727,0.5199220525172769,7.375,0.47837535478323095,0.020258161076240382,2355.7683418857687,-1190.103100142034,891,2242,2.0,2.5
20,0.7,4,10,40.15044663845792,2.01431703649222,60184.536161544675,-0.03014753297310073,2.667435072116895,-0.8883733017612919,0.5392996419584878,6.996710526315789,0.4845173763786339,0.020478725217553864,2277.989551587828,-1130.8992131421246,854,2127,2.0,2.5
21,0.71,4,10,40.596562184024265,2.060732077279276,42918.35376433094,-0.02931344993469112,2.68741950874088,-0.8912337262813973,0.5615764596250175,6.506578947368421,0.49070428202061417,0.02061670545378602,2157.9978655189266,-1047.199628380642,803,1978,2.0,2.5
22,0.72,4,10,41.16037219485496,2.1216067450477634,32044.064414919187,-0.028449860690292407,2.715010410699148,-0.8951915789213736,0.590780996992492,6.009868421052632,0.49533423672909527,0.020848738137726055,2041.6878288457592,-962.3309473404765,752,1827,2.0,2.5
23,0.73,4,10,41.53392330383481,2.139752706407277,17937.08891178477,-0.028105421684507394,2.716558759364162,-0.9018919770507734,0.6009925765988515,5.5756578947368425,0.4977713692060796,0.020927539500303727,1912.45736659237,-893.7749492573165,704,1695,2.0,2.5
24,0.74,4,10,42.16634429400386,2.193464585357336,12092.980652963734,-0.027012155415252186,2.745619224667695,-0.9126305141477393,0.6299196658556738,5.1019736842105265,0.5072088150991172,0.021183380883554835,1795.6349729326726,-818.6295711905223,654,1551,2.0,2.5
25,0.75,4,10,43.012309920347576,2.2511988302901558,7174.366334675832,-0.026313737294618788,2.793491937477013,-0.93658086464673,0.6678096092573272,4.932142857142857,0.5062718289792717,0.021594196734848966,1659.3342108613456,-737.0891404769765,594,1381,2.0,2.5
26,0.76,4,10,44.6078431372549,2.352991163970369,5016.435838541339,-0.02484936489520122,2.815432411602792,-0.9635799584143546,0.7221559517403529,4.371428571428571,0.5142360996543689,0.02194817023609159,1537.2260967351244,-653.3072118049324,546,1224,2.0,2.5
27,0.77,4,10,45.72243346007605,2.380621243739993,2117.9676457965525,-0.023937180937043074,2.8489642937397552,-1.008104769832419,0.7554410662685468,3.757142857142857,0.5199271113021849,0.022506086091047074,1370.3518252888223,-575.6278235743113,481,1052,2.0,2.5
28,0.78,4,10,47.092360319270234,2.4304400613598025,880.0164541361884,-0.022699585415224318,2.894616842839178,-1.0600790231461616,0.802280603594939,3.14336917562724,0.5276393266644271,0.0231275519747053,1195.4767560925807,-491.876666739819,413,877,2.0,2.5
29,0.79,4,10,46.71232876712329,2.409177917617462,351.34134201970244,-0.021975145555681558,3.0542545650562603,-1.1113251313613592,0.8345141514857755,2.6164874551971327,0.5303654738309092,0.024039901432138203,1041.5008066841847,-432.30547609956875,341,730,2.0,2.5
30,0.8,4,10,45.97902097902098,2.337909548797087,107.52302897991476,-0.021116369929701426,3.2392633710275196,-1.1792769892809558,0.8523246099517868,2.064981949458484,0.5435003240940289,0.02524556040555539,851.9262665802377,-364.3965896878154,263,572,2.0,2.5
31,0.81,4,10,45.82441113490364,2.2350014625239476,43.004841872952625,-0.0217572194427498,3.325254162259286,-1.2584625214544019,0.8419986569497294,1.7296296296296296,0.5322377457732328,0.026102393176707206,711.6043907234872,-318.3910179279637,214,467,2.0,2.5
32,0.82,4,10,45.43010752688172,2.2361004210565754,24.736223908382925,-0.020425639935525784,3.597231851228835,-1.3392689294418332,0.9033886832822068,1.3777777777777778,0.5368797845155812,0.027595854221773023,607.9321828576731,-271.87159267669216,169,372,2.0,2.5
33,0.83,4,10,43.00699300699301,2.1335019952440395,11.675506811462554,-0.020131341655169038,3.956972242785518,-1.3995469028118124,0.9041309115534727,1.0592592592592593,0.5443596890946142,0.029036785549742546,486.70758586261866,-228.12614515832541,123,286,2.0,2.5
34,0.84,4,10,44.39461883408072,2.1767106182823897,8.09756920237576,-0.018957368969942177,4.11113916883653,-1.507908510150085,0.9866462890412823,0.828996282527881,0.5345434340416325,0.030128372748926838,407.0027777148165,-186.98065525861054,99,223,2.0,2.5
35,0.85,4,10,44.57831325301205,2.1890005750195427,5.182813365150471,-0.017790461413605994,4.313202827760943,-1.584885521535624,1.0443827787532072,0.6561264822134387,0.5371514538211724,0.03147566244546038,319.1770092543098,-145.80946798127738,74,166,2.0,2.5
36,0.86,4,10,44.800000000000004,2.2585783072134022,3.849974410227161,-0.015297435591256178,4.55333678644817,-1.636189335531808,1.1367183671152226,0.49407114624505927,0.5643309479781163,0.032836407799211716,254.98686004109757,-112.89706415169474,56,125,2.0,2.5
37,0.87,4,10,48.31460674157304,2.643092165108618,3.6768527798245243,-0.00897987442139624,5.115357387354918,-1.8091488394108648,1.5363991128467611,0.35177865612648224,0.5162665594171593,0.03593801724432607,219.9603676562615,-83.22084661289978,43,89,2.0,2.5
38,0.88,4,10,50.0,2.5546348422851057,2.6186131586835475,-0.011969962795262717,5.040174390288539,-1.9729529664521968,1.533610711918171,0.2608695652173913,0.3896330306610554,0.036478292554105986,166.32575487952178,-65.1074478929225,33,66,2.0,2.5
