,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,1,1,51.68067226890757,1.0733808813416092,1.6981633887097984,-0.14363021901285425,0.19316427176882509,-0.192477609689141,0.006824707198799467,19.4052757793765,0.1387713049872061,0.002368281480211426,807.8129845372265,-752.5874538845412,4182,8092,2.0,1.0
1,1,2,35.77304621340431,1.05958611909491,1.7267841361193652,-0.1520338826163541,0.35362932527676333,-0.1858876817721641,0.007113986488624433,19.587677725118482,0.13108170226371654,0.0031827184215105254,1045.681914843389,-986.8777025284193,2957,8266,2.0,2.0
2,1,3,27.78675282714055,1.100286720777277,2.752065555429843,-0.14672493598180517,0.5733131099406654,-0.20049655975417627,0.014520020516442102,17.601895734597157,0.13531987362596432,0.004230218052636733,1183.3182589175333,-1075.4635465214014,2064,7428,2.0,3.0
3,1,4,22.463641142456634,1.146807347147665,9.129773001813188,-0.1595430374572503,0.7098245687907394,-0.17932271714677295,0.020412138394122568,27.11163895486936,0.12407861183765603,0.0045651670230988425,1819.9901943794557,-1587.0060467489407,2564,11414,2.0,4.0
4,1,5,18.91391794046661,1.1842010602338142,19.21339421429835,-0.17483071153284377,0.8478347760969701,-0.16700172789727055,0.0249436156981003,29.879807692307693,0.11296964743696446,0.004843899143568176,1993.2595586039768,-1683.21041547659,2351,12430,2.0,5.0
5,1,6,15.983054111303677,1.1266067235604857,6.110771001826533,-0.1688073791475524,1.0516066737430287,-0.17757174977204826,0.01888850278283601,24.906474820143885,0.11735929479039536,0.005431757528649323,1745.6670784134278,-1549.491088510893,1660,10386,2.0,6.0
6,1,7,13.468958260259559,1.117209629262293,6.74488962748203,-0.16794699002800184,1.3153326431011594,-0.18325802547982284,0.018586526163494318,27.814634146341465,0.11797850461661409,0.006119342420482885,2020.350939803381,-1808.3901954348917,1536,11404,2.0,7.0
7,1,8,11.29889859475883,1.0211034557736671,1.1681295019708415,-0.18094208414035765,1.2859914590404409,-0.1604262517614647,0.0030030186386746766,25.37831325301205,0.11036663973717939,0.0055682311396454435,1530.3298362581245,-1498.702043955603,1190,10532,2.0,8.0
8,1,9,9.97675319643549,1.0421426081700698,1.5578357787092199,-0.18190396489322677,1.5257217293710597,-0.16224926407266865,0.0061554359706324,25.180487804878048,0.10960973639028188,0.0061560588273859105,1571.4933812521913,-1507.9446602913827,1030,10324,2.0,9.0
9,1,10,9.25785527756718,1.1177128345711183,6.923804356871475,-0.16977017227231853,1.9421598768013533,-0.17727850781623858,0.018936030528865725,28.604819277108433,0.1166909323914347,0.007335378575907445,2134.4337046046876,-1909.644086196522,1099,11871,2.0,10.0
10,2,1,68.69128249945379,1.1209493771506291,4.019103059638137,-0.07157980981951251,0.21330034380778626,-0.41748598657170116,0.015809233597210474,21.691943127962084,0.2771997818108065,0.0034939938262840238,1341.23256186336,-1196.5148375144954,6288,9154,2.0,0.5
11,2,2,53.1588132635253,1.1237644260201742,6.983067343491182,-0.07510792652208369,0.40639253140459364,-0.4104098973417249,0.023792580487469902,20.36729857819905,0.26311569377853533,0.0048546199762111554,1856.8074759875885,-1652.3102466977846,4569,8595,2.0,1.0
12,2,3,45.64673789497613,1.2469617844590983,119.99483207787554,-0.0739975404278595,0.6231401001186321,-0.41967846829690003,0.05633419034788029,21.098321342925658,0.26266627220495353,0.006179535779189895,2502.530642076427,-2006.9024353957757,4016,8798,2.0,1.5
13,2,4,38.14535099665717,1.280179598045964,327.45464870190665,-0.07234958509935085,0.8932395285723365,-0.4302950009922161,0.07457189087213774,19.139810426540283,0.26612842443862716,0.00756236638961149,2752.0709875313687,-2149.7538249571116,3081,8077,2.0,2.0
14,2,5,34.11424058962885,1.361828131324153,2259.682503654685,-0.0732319078287345,1.1651463457762636,-0.44299857395341197,0.1056078529930633,18.53170731707317,0.25868398122814185,0.008880076975160198,3020.0593282520754,-2217.6508612107805,2592,7598,2.0,2.5
15,2,6,31.21731551423591,1.3728988454953568,1078.781891858537,-0.07649969209606405,1.2452574858005345,-0.4116584680158664,0.10558621309271071,16.790243902439023,0.24763678584854823,0.009087884620626015,2676.0583369853484,-1949.2028460551276,2149,6884,2.0,3.0
16,2,7,27.7094487049631,1.3631568158118823,964.362548933222,-0.0787688896675937,1.4098521825034431,-0.3964369353538627,0.10407582122213793,16.85609756097561,0.24069454156059586,0.009651088016045287,2699.8669294940937,-1980.598929027898,1915,6911,2.0,3.5
17,2,8,24.736004628959932,1.3829357036651773,1142.058073388301,-0.08028784776352119,1.5615423406405977,-0.37110265364835554,0.10695650160032227,16.860975609756096,0.23578207052895778,0.010139379981874658,2670.237402495422,-1930.847106932394,1710,6913,2.0,4.0
18,2,9,22.905208670333224,1.4556187900754645,4932.133599727815,-0.07424981182902635,2.0238506955386697,-0.4130855778409216,0.14509976073971595,15.078048780487805,0.24981884715499728,0.012331893314066814,2865.7725848827563,-1968.7658639898323,1416,6182,2.0,4.5
19,2,10,20.575947478364668,1.4828700764728335,26569.579501253815,-0.07046889656622811,2.404364055777423,-0.42005380725585584,0.1610969288114213,16.346341463414635,0.2609524429633065,0.013551080200449381,3315.618032917066,-2235.9464160229204,1379,6702,2.0,5.0
