timestamp,symbol,open,high,low,close,volume,trade_count,vwap
2023-02-23 09:30:00+00:00,ETH/USD,1667.34,1667.44,1664.85,1664.96,93.50844,105.0,1665.74152
2023-02-23 09:35:00+00:00,ETH/USD,1665.29,1668.29,1665.28,1667.58,108.85672,174.0,1667.134602
2023-02-23 09:40:00+00:00,ETH/USD,1667.58,1668.09,1666.21,1666.21,37.3054,59.0,1667.506111
2023-02-23 09:45:00+00:00,ETH/USD,1666.65,1667.39,1665.75,1665.8,29.83943,48.0,1666.655984
2023-02-23 09:50:00+00:00,ETH/USD,1665.94,1666.05,1664.5,1664.72,82.48826,105.0,1665.07547
2023-02-23 09:55:00+00:00,ETH/USD,1665.35,1666.23,1663.85,1665.08,192.28814,199.0,1664.87006
2023-02-23 10:00:00+00:00,ETH/USD,1664.52,1665.47,1663.84,1663.92,95.98813,103.0,1664.626583
2023-02-23 10:05:00+00:00,ETH/USD,1664.07,1664.45,1661.23,1662.62,154.5579,229.0,1663.182835
2023-02-23 10:10:00+00:00,ETH/USD,1662.86,1665.89,1662.49,1664.39,203.83399,211.0,1664.313705
2023-02-23 10:15:00+00:00,ETH/USD,1664.5,1665.33,1662.59,1664.73,82.56093,75.0,1664.317796
2023-02-23 10:20:00+00:00,ETH/USD,1664.85,1665.99,1664.85,1665.99,96.83113,97.0,1665.52406
2023-02-23 10:25:00+00:00,ETH/USD,1665.79,1666.71,1665.57,1666.53,78.16502,82.0,1666.090746
2023-02-23 10:30:00+00:00,ETH/USD,1666.69,1666.77,1664.32,1665.23,95.12758,94.0,1665.748696
2023-02-23 10:35:00+00:00,ETH/USD,1665.19,1665.19,1662.91,1664.01,136.731429882,137.0,1664.032003
2023-02-23 10:40:00+00:00,ETH/USD,1664.09,1665.39,1662.87,1663.7,176.43106,158.0,1664.002654
2023-02-23 10:45:00+00:00,ETH/USD,1663.83,1664.82,1663.73,1664.53,171.06724,113.0,1664.249062
2023-02-23 10:50:00+00:00,ETH/USD,1664.93,1666.33044,1664.0,1665.32,65.473559897,72.0,1664.961561
2023-02-23 10:55:00+00:00,ETH/USD,1665.4,1666.5,1664.25,1665.96,150.75052,167.0,1665.418645
