timestamp,open,high,low,close,volume,trade_count,vwap
2015-12-01 08:00:00+00:00,118.88,118.99,118.5,118.9,27858,111,118.755372
2015-12-01 12:00:00+00:00,118.88,119.0,117.82,118.28,10117668,55811,118.36844
2015-12-01 16:00:00+00:00,118.29,118.48,116.86,117.1445,15413449,88369,117.649119
2015-12-01 20:00:00+00:00,117.14,117.39,117.0,117.23,9192879,42671,117.26566
2015-12-02 00:00:00+00:00,117.28,117.28,117.18,117.19,28717,84,117.213807
2015-12-02 08:00:00+00:00,117.37,117.49,117.34,117.34,3951,33,117.428805
2015-12-02 12:00:00+00:00,117.34,118.11,116.9,117.88,9554055,52545,117.617107
2015-12-02 16:00:00+00:00,117.88,118.07,116.3384,116.51,13162030,82189,117.440446
2015-12-02 20:00:00+00:00,116.52,116.85,116.08,116.4,10477926,45727,116.377222
2015-12-03 00:00:00+00:00,116.42,116.44,116.38,116.43,17117,59,116.421065
2015-12-03 08:00:00+00:00,116.71,117.3,116.54,117.12,25320,138,116.907887
2015-12-03 12:00:00+00:00,117.1,117.3,115.71,116.0401,10614474,68905,116.112247
2015-12-03 16:00:00+00:00,116.05,116.68,114.22,114.8894,19796527,124999,115.324435
2015-12-03 20:00:00+00:00,114.89,115.4,114.44,115.39,11098251,51182,114.980809
2015-12-04 00:00:00+00:00,115.38,115.47,115.38,115.46,11845,38,115.423269
2015-12-04 08:00:00+00:00,115.54,115.95,115.54,115.72,11060,55,115.709121
2015-12-04 12:00:00+00:00,115.74,118.48,115.01,118.465,22400351,116772,117.303916
2015-12-04 16:00:00+00:00,118.465,119.15,117.87,119.11,21683297,137193,118.57039
2015-12-04 20:00:00+00:00,119.12,119.25,118.83,119.05,12575486,53637,119.028684
2015-12-05 00:00:00+00:00,119.05,119.07,119.04,119.05,5236,23,119.053669
2015-12-07 08:00:00+00:00,119.24,119.52,119.24,119.35,14802,55,119.369359
2015-12-07 12:00:00+00:00,119.26,119.86,118.32,118.53,12507685,73404,118.97256
2015-12-07 16:00:00+00:00,118.51,118.66,117.94,118.04,12405227,81150,118.211055
2015-12-07 20:00:00+00:00,118.04,118.48,117.81,118.38,7058452,36062,118.21214
2015-12-08 00:00:00+00:00,118.36,118.36,118.25,118.26,7390,37,118.293437
2015-12-08 08:00:00+00:00,117.95,118.05,117.63,117.7,12999,51,117.895517
2015-12-08 12:00:00+00:00,117.7,118.17,116.77,118.0,12381850,70327,117.471876
2015-12-08 16:00:00+00:00,117.99,118.6,117.36,117.87,13142323,79113,117.920318
2015-12-08 20:00:00+00:00,117.8725,118.51,117.71,118.26,8605111,36686,118.168743
2015-12-09 00:00:00+00:00,118.35,118.5,118.34,118.49,15591,66,118.428487
2015-12-09 08:00:00+00:00,117.96,118.1,117.7,117.71,16241,88,117.792912
2015-12-09 12:00:00+00:00,117.8,118.23,116.94,117.1,10484733,59647,117.305969
2015-12-09 16:00:00+00:00,117.11,117.17,115.08,115.16,23796846,137711,115.844805
2015-12-09 20:00:00+00:00,115.1501,115.85,115.1,115.65,11469352,44791,115.519966
2015-12-10 00:00:00+00:00,115.67,115.8,115.65,115.8,12228,47,115.754417
2015-12-10 08:00:00+00:00,115.94,116.18,115.8,115.97,8227,49,115.922905
2015-12-10 12:00:00+00:00,116.01,116.69,115.51,116.4,10942704,61624,116.066992
2015-12-10 16:00:00+00:00,116.4,116.94,115.77,116.66,11611660,75583,116.241739
2015-12-10 20:00:00+00:00,116.655,116.71,115.9,116.38,6354527,31783,116.210212
2015-12-11 00:00:00+00:00,116.37,116.42,116.29,116.42,9704,50,116.373465
2015-12-11 08:00:00+00:00,116.17,116.17,115.11,115.25,32913,148,115.701448
2015-12-11 12:00:00+00:00,115.35,115.5,113.78,113.96,14426096,84160,114.5062
2015-12-11 16:00:00+00:00,113.955,114.08,112.851,113.38,20568695,135900,113.446827
2015-12-11 20:00:00+00:00,113.38,113.54,112.86,113.04,11831152,53449,113.16084
2015-12-12 00:00:00+00:00,113.0001,113.04,112.88,112.95,15941,101,112.963126
2015-12-14 08:00:00+00:00,112.5,113.99,112.5,112.85,88702,323,113.108718
2015-12-14 12:00:00+00:00,112.77,112.9,110.61,111.15,22684642,131515,111.204488
2015-12-14 16:00:00+00:00,111.14,112.68,109.79,112.235,29780209,177469,111.25661
2015-12-14 20:00:00+00:00,112.24,112.54,110.7449,112.17,12338977,61663,112.15696
2015-12-15 00:00:00+00:00,112.3,112.35,112.21,112.3,18866,88,112.296503
2015-12-15 08:00:00+00:00,112.45,112.85,110.11,110.9,126356,446,111.873275
2015-12-15 12:00:00+00:00,110.95,112.8,110.51,112.64,19097380,109455,111.876086
