timestamp,predicted_signal,actual_returns,Entry Price,Entry Time,Exit Price,Exit Time,trading_algorithm_returns,probability_estimates
2022-04-18 08:05:00+00:00,1,-0.00012172854534397981,164.28,2022-04-18 08:05:00+00:00,163.77285714285716,2022-04-18 09:20:00+00:00,-0.003087063897874595,0.7034767080779052
2022-04-18 09:25:00+00:00,1,0.00042810837257678536,163.58,2022-04-18 09:25:00+00:00,164.4157142857143,2022-04-18 11:00:00+00:00,0.005108902590257298,0.6894166043788462
2022-04-18 11:05:00+00:00,1,0.0003645643456069436,164.64,2022-04-18 11:05:00+00:00,164.34,2022-04-18 12:05:00+00:00,-0.0018221574344022288,0.5332397635915185
2022-04-18 12:10:00+00:00,1,-0.001035111644184461,164.16,2022-04-18 12:10:00+00:00,163.75285714285715,2022-04-18 13:25:00+00:00,-0.002480158730158651,0.6238967184729235
2022-04-18 16:50:00+00:00,1,0.0006711818902922495,164.0,2022-04-18 16:50:00+00:00,165.81924285714285,2022-04-18 18:25:00+00:00,0.011092944250871059,0.5205235223916127
2022-04-18 20:00:00+00:00,1,0.0014541820604445643,165.3501,2022-04-18 20:00:00+00:00,164.61882857142857,2022-04-19 08:45:00+00:00,-0.004422564174871573,0.656650915265422
2022-04-19 08:50:00+00:00,1,-0.001398346303501885,164.25,2022-04-19 08:50:00+00:00,165.81857142857143,2022-04-19 14:05:00+00:00,0.009549902152641895,0.7164650207655464
2022-04-19 19:50:00+00:00,1,0.000508190840607492,167.345,2022-04-19 19:50:00+00:00,166.7367857142857,2022-04-19 20:00:00+00:00,-0.003634493326447142,0.6336390786181917
2022-04-19 20:05:00+00:00,1,6.0175713082255555e-05,166.19,2022-04-19 20:05:00+00:00,168.80917142857143,2022-04-20 11:55:00+00:00,0.015760102464477007,0.5139577579608849
2022-04-20 13:30:00+00:00,1,-0.005276262746028104,167.79,2022-04-20 13:30:00+00:00,167.0857142857143,2022-04-20 13:40:00+00:00,-0.004197423650311121,0.6836057602113488
