,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
21,2,3,42.57910597689603,1.1887303554188895,44.13069013993783,-0.07822247293749261,0.7366534872069097,-0.4595221862778119,0.04979872140509759,19.4718826405868,0.24931470527060726,0.006693686506062141,2497.9919751186308,-2101.3949578484335,3391,7964,2.0,1.5
22,3,3,53.61501115339195,1.212777516460949,89.72831342740811,-0.04977894012988284,0.6572034980970605,-0.6263652758844054,0.061820265447213696,18.05924170616114,0.38935737271538967,0.007481100034603746,2685.333493224589,-2214.2012502513735,4086,7621,2.0,1.0
23,4,3,62.579226490751516,1.384299712801423,5855.480080495313,-0.036208766786124176,0.666959730773564,-0.805725140333358,0.11586966065167485,18.584134615384617,0.5203519773201325,0.008471864958568083,3226.7511774825025,-2330.9628309844043,4838,7731,2.0,0.75
24,5,3,66.10878661087865,1.3864458844208585,19897.061729493107,-0.029069713989936796,0.6466494137464837,-0.9097834522674632,0.11915542986727992,20.682692307692307,0.6470117218159839,0.008979152313875877,3678.141865389999,-2652.928546811923,5688,8604,2.0,0.6
25,6,3,69.36907125523936,1.3417601378852697,11258.28820058922,-0.02476987808966472,0.6073011934750354,-1.0250261952511233,0.1073041541531137,22.166259168704155,0.7641118938880114,0.00930031555770533,3819.317205764498,-2846.4977442123695,6289,9066,2.0,0.5
26,7,3,73.12883435582822,1.3777616944712572,43853.16102566527,-0.020336845057225134,0.6208208700848793,-1.2262932762092777,0.12447976819724692,21.91931540342298,0.9222277233884079,0.010135040864684657,4070.1016242764686,-2954.1405023881503,6556,8965,2.0,0.42857142857142855
27,8,3,76.9295706705258,1.403071356201887,63765.15932124175,-0.01686895738127439,0.6320956816654103,-1.5022447567933275,0.13969417916039753,20.273838630806846,1.102798340639985,0.011056060018879321,4032.1383533436524,-2873.7942197456355,6379,8292,2.0,0.375
28,9,3,79.2192046556741,1.3974546219205972,61641.53996874641,-0.0151434525924093,0.62408373025889,-1.7024464450141295,0.14061225591141707,20.166259168704155,1.2278492851891691,0.011580221576094979,4077.7630935115867,-2917.993206754218,6534,8248,2.0,0.3333333333333333
29,10,3,80.77406096586368,1.3782870261599334,74205.02260418187,-0.01388203911245847,0.6106648027435528,-1.861433724216438,0.13538064708644312,21.36341463414634,1.3431883729819993,0.011948703389045714,4320.453479410637,-3134.6543915804814,7075,8759,2.0,0.3
30,1,4,21.99511505334876,1.200973860388317,12.785000111006987,-0.1707261815250276,0.9277861563060954,-0.21783054121931483,0.03414916947177357,20.100775193798448,0.1151464182568883,0.005281804755288487,1587.4421134397292,-1321.7957241188024,1711,7779,2.0,4.0
31,2,4,36.69340774328567,1.2299980429802548,168.82301116488622,-0.08178034946649446,0.9081760775127221,-0.42796154613042825,0.06231288012440054,21.029339853300733,0.23693798479908343,0.007317494285488777,2866.203700630151,-2330.2506186801816,3156,8601,2.0,2.0
32,3,4,47.15259030723743,1.2507200058921981,302.7086966487305,-0.050846211270475575,0.8129064548125887,-0.5799123071115339,0.0768378174208844,18.433649289099527,0.37823116698880205,0.008223704567362345,2981.740876252575,-2384.0194945355156,3668,7779,2.0,1.3333333333333333
33,4,4,55.08433734939759,1.367630818243533,19913.712463557928,-0.03702558620447357,0.8364114894382231,-0.750034826113227,0.12384861421222237,20.80200501253133,0.5067175372799618,0.009503490323288242,3824.073329711556,-2796.1298317501105,4572,8300,2.0,1.0
34,5,4,59.951322048899215,1.3803444088387449,147922.2848729994,-0.02995685098392773,0.8301138809388597,-0.9002451619731184,0.13712796044529185,22.100244498777506,0.6218517562323774,0.010331598222438461,4498.387120807682,-3258.8874863426886,5419,9039,2.0,0.8
35,6,4,64.32189730600967,1.4018600889763388,410664.2453115124,-0.02408630544016202,0.8420628412572871,-1.082921376729309,0.15526499512092262,21.237163814180928,0.7658854154540143,0.011246887034447359,4704.605094104462,-3355.973346484129,5587,8686,2.0,0.6666666666666666
36,7,4,67.60425583954995,1.3927129780156857,266198.5916642655,-0.019921992340060327,0.8404400839765498,-1.2593058213413821,0.16021177247022692,19.992665036674815,0.9234961022599217,0.012066848669317579,4645.952784222367,-3335.901120733321,5528,8177,2.0,0.5714285714285714
37,8,4,70.82923631596198,1.364852250793557,447179.3623994942,-0.01787014628116171,0.7917949679653828,-1.4086135357754104,0.14991900325567908,22.378973105134474,1.0352914674764768,0.012331560368264861,5133.206777319577,-3760.9981405203457,6483,9153,2.0,0.5
38,9,4,74.04143843772327,1.415162007704895,1177226.1408535962,-0.015235262790432353,0.8073892424020384,-1.6273127306248552,0.17537563187588592,20.533007334963326,1.1976323567388458,0.013179447711217589,5020.346309255875,-3547.5417527621844,6218,8398,2.0,0.4444444444444444
39,10,4,76.24011502516176,1.4195279063639983,2590192.294204764,-0.013539121620086582,0.830736037077271,-1.877838871504887,0.18718175434081988,20.405867970660147,1.3389481951101547,0.014103635945745437,5285.973403922674,-3723.754482194191,6363,8346,2.0,0.4
40,1,5,19.95164632742344,1.2978924254522954,93.64796992125954,-0.1676622484915011,1.184275593821929,-0.22742615796624943,0.054231582748569034,21.237163814180928,0.11605286430058007,0.0062817415976630635,2052.3496040934033,-1581.2940763393324,1733,8686,2.0,5.0
41,2,5,32.69661722334863,1.2822705148121938,1367.8190182045564,-0.08032552555932888,1.1180683277713364,-0.4235987004644363,0.08047426661638835,23.966751918158568,0.23896833789974264,0.008261341694656242,3425.761356291375,-2671.6370038292,3064,9371,2.0,2.5
42,3,5,42.28675136116152,1.2641543173435783,1041.8065408248824,-0.053831547998808495,0.9985161660836831,-0.5787404123335308,0.08823015530932012,19.585308056872037,0.3551393032080361,0.00910051398600977,3489.814000462472,-2760.5917668309417,3495,8265,2.0,1.6666666666666667
43,4,5,49.245714285714286,1.3174602666018194,21241.75354194641,-0.038915675551534294,1.0055243905526987,-0.7405438921213952,0.11931990559776721,21.92982456140351,0.4832705761234266,0.010394071308305882,4332.804598891579,-3288.7554249111163,4309,8750,2.0,1.25
44,5,5,54.724624986313366,1.3782643304203777,503373.0550501326,-0.03196897805680345,0.9999794294180466,-0.8769589957466876,0.15018851864872917,22.88972431077694,0.5786270296361896,0.011264099218195631,4997.897188231397,-3626.2254474125534,4998,9133,2.0,1.0
45,6,5,58.45885848959934,1.3175112746148612,298528.82778758305,-0.026085952687589953,0.9685924856633912,-1.0345670906618354,0.13645713138298654,23.860635696821515,0.7143855894147846,0.011990512810055304,5525.820130709647,-4194.134985543081,5705,9759,2.0,0.8333333333333334
46,7,5,62.57514482457099,1.35671520796096,1152923.2429498786,-0.02187119064906766,0.978408892279273,-1.2057948730215615,0.16097379637916828,22.369193154034228,0.8408441191560037,0.012862298042492507,5601.390908298837,-4128.641645225826,5725,9149,2.0,0.7142857142857143
47,8,5,65.93484419263456,1.375951337577519,2211788.8869015123,-0.018801639878155675,1.0123108554199596,-1.4240178193555355,0.18237169637816567,20.713936430317847,0.9667392394498583,0.013950599855522716,5654.768438375895,-4109.7154266600755,5586,8472,2.0,0.625
48,9,5,68.46529592184483,1.3770274444200172,5202654.093210346,-0.017037249007107954,0.9936353507186135,-1.5666290227148598,0.18626355693793398,21.52322738386308,1.0645711888729066,0.014394411048766464,5988.6402587810835,-4348.96216705645,6027,8803,2.0,0.5555555555555556
49,10,5,71.64429530201343,1.4416037016044705,104077034.70975384,-0.01563333231235096,0.9923722663951865,-1.7392815909112742,0.21779256524620702,22.406015037593985,1.140004830157533,0.014826004320963964,6356.14436626117,-4409.07883296008,6405,8940,2.0,0.5
50,1,6,16.19914545792309,1.2773876312784038,121.71210030215111,-0.1604827933087788,1.3272210218394138,-0.200846469955588,0.04668740573552135,26.322738386308068,0.12171476791946068,0.0064841866240329,2314.6734620879374,-1812.036851939315,1744,10766,2.0,6.0
51,2,6,29.56709407134696,1.3360510815145672,1791.814120119533,-0.07696003344589668,1.336515195511751,-0.4199367415366205,0.09939505500846735,20.145780051150894,0.24695999467407564,0.009266045790120844,3112.743890346868,-2329.8090420451704,2329,7877,2.0,3.0
52,3,6,38.7055675882278,1.3592009047456322,11831.449305226757,-0.05189744296024297,1.2202792183806745,-0.56692808615258,0.12482064504528323,18.643705463182897,0.36132403602066365,0.010299419790505127,3707.2082654404894,-2727.491022480062,3038,7849,2.0,2.0
53,4,6,45.637184973846885,1.4013482592143123,329352.8665370949,-0.03959008064622277,1.2065635760188211,-0.7228048249942771,0.15770460100302236,21.082706766917294,0.46534267395404977,0.011488930392360713,4631.9975683362545,-3305.3864646988295,3839,8412,2.0,1.5
54,5,6,51.29824561403509,1.4887666898245147,24650688.550907575,-0.03284853877113294,1.2302167212649862,-0.8703879884614829,0.20718537491398997,21.428571428571427,0.5457821541399956,0.012620087329089109,5395.730539468229,-3624.2955839536144,4386,8550,2.0,1.2
55,6,6,54.33151782961669,1.4177235169192763,34098624.41336286,-0.028125622663423784,1.1667382057243505,-0.9790776485330043,0.18677667491357217,24.38847117794486,0.6446873538712621,0.01296431365359259,6168.544893664642,-4351.021070080671,5287,9731,2.0,1.0
56,7,6,58.57232572744401,1.4322657806493588,151097169.21836638,-0.023682311449780207,1.1703351604260688,-1.155283452152502,0.2068854567850826,23.94486215538847,0.7571535181510161,0.013838643404398743,6549.19555774428,-4572.611903619602,5596,9554,2.0,0.8571428571428571
57,8,6,62.170560478766255,1.4396878036898055,181711070.88579485,-0.01996718931729497,1.2142085283188113,-1.3860529744005068,0.23054417575368324,21.776942355889723,0.8861817234905806,0.015111150809542073,6559.154469978219,-4555.956126854466,5402,8689,2.0,0.75
