,Probability Threshold,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,0.5,10,10,59.7671617824167,1.6908457646594859,2.408385161801602e+17,-0.023940253256421372,1.364748837335223,-1.199031798260942,0.33326712196208924,29.58432304038005,0.6962051989115242,0.015139187836796507,10159.190345123401,-6008.34834108558,7444,12455,2.0,1.0
1,0.51,10,10,59.80681074001309,1.7001353622540598,1.8877903419586176e+17,-0.023823547849854493,1.3708817017867807,-1.1998160154707906,0.3376363029872821,29.016627078384797,0.6977817525288834,0.015180656944011403,10015.66171325422,-5891.096635961583,7306,12216,2.0,1.0
2,0.52,10,10,59.74483800570757,1.7013326277906262,9.354152907227322e+16,-0.023744129709802157,1.3810719222555732,-1.204774798369654,0.3401351359437896,28.299287410926365,0.699063256620847,0.015267222143923793,9830.46994261517,-5778.099932980861,7118,11914,2.0,1.0
3,0.53,10,10,59.576846994065534,1.695002881336597,3.331469699164179e+16,-0.023654098383521168,1.3895914846263795,-1.2082701125051565,0.3394539163354861,27.617577197149643,0.7020119967123107,0.0153358533260633,9625.700214006933,-5678.869528774236,6927,11627,2.0,1.0
4,0.54,10,10,59.53706157787791,1.7009111456514676,1.9127973456887036e+16,-0.02349874521860503,1.4004651145932374,-1.211492267270863,0.3435904075574938,26.885985748218527,0.7048927834372412,0.015415584107113292,9437.734407243826,-5548.634584100553,6739,11319,2.0,1.0
5,0.55,10,10,59.467347683327255,1.705327571540668,8369632424624109.0,-0.023414768479840916,1.4103753905450598,-1.213390116493713,0.3468936399722482,26.04275534441805,0.7060101241022321,0.015485802270784558,9195.64754635379,-5392.305677698061,6520,10964,2.0,1.0
6,0.56,10,10,59.60345799661718,1.7242766404477015,6969697106161037.0,-0.023195851095053906,1.4195977199634495,-1.2147463835068242,0.3554137976914418,25.27790973871734,0.7090001550575724,0.015546953295766186,9004.50833772816,-5222.194702695837,6343,10642,2.0,1.0
7,0.57,10,10,59.59965354633818,1.727860033370307,3892739316924548.5,-0.02311397334249452,1.426644117766601,-1.2180517403655495,0.35817782843556767,24.68171021377672,0.7103158540665008,0.015598592453151162,8835.20702132856,-5113.381206054576,6193,10391,2.0,1.0
8,0.58,10,10,59.63694077968456,1.736657130193679,2106098009983013.8,-0.02291701557322011,1.4342698887509968,-1.2202479288266008,0.36282529002832603,23.94536817102138,0.7143926331685221,0.015664215757300294,8622.830571170995,-4965.188822395438,6012,10081,2.0,1.0
9,0.59,10,10,59.65503163911002,1.744135951961289,1150647385737429.2,-0.02281210634183498,1.4413816893849674,-1.221958249101685,0.366858033859581,23.27315914489311,0.7159102020953717,0.015715430077646746,8424.875974455133,-4830.4009586989605,5845,9798,2.0,1.0
