,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
19,10,2,84.69750889679716,1.0800568316136654,1.1317359816784185,-0.014527064710966618,0.4674334143887714,-2.395419870687583,0.029345545142211885,1.3477218225419665,1.3565400127736214,0.011989808783388414,222.4983052490552,-206.0061088791321,476,562,2.0,0.2
20,1,3,27.641099855282196,1.1736539422212575,1.6826313994672508,-0.1782987887070429,0.4771818459171522,-0.15531278734118376,0.01951568581705383,6.549763033175355,0.11107671165601787,0.003727943079291799,364.56693028070424,-310.62557468236747,764,2764,2.0,3.0
21,2,3,41.59744408945687,1.1189439425893681,1.4708019320933803,-0.08985603766179204,0.5931507493391489,-0.37756484172403515,0.02622803353611357,3.7085308056872037,0.21965935932907937,0.005618815806027534,386.1411378197859,-345.0942653357681,651,1565,2.0,1.5
22,3,3,53.32681017612525,1.164576585851109,1.5797197746251181,-0.05204798025851242,0.6309162266852278,-0.6189873395385649,0.04754636260621699,2.4218009478672986,0.37512572585839393,0.0074886534619162375,343.8493435434492,-295.2569609598954,545,1022,2.0,1.0
23,4,3,59.68992248062015,1.1339837325472801,1.3875418480449162,-0.04036250063415852,0.6515497728755547,-0.8508013195406012,0.04595088290935232,1.8341232227488151,0.48412488978369905,0.00851099366095341,301.0159950685063,-265.4500116966676,462,774,2.0,0.75
24,5,3,65.19607843137256,1.088058853066378,1.1999641093961315,-0.029081945868737063,0.6584943387342435,-1.133686436750638,0.03474514726646605,1.4676258992805755,0.6757645659626141,0.00993438246370951,262.7392411549631,-241.4752110278859,399,612,2.0,0.6
25,6,3,69.3359375,1.1621472654672818,1.3817019336887253,-0.02394583935396796,0.7203353638059545,-1.4015295933661986,0.06968536717308718,1.2307692307692308,0.8061169225655266,0.011389940811768237,255.71905415111385,-220.0401461584932,355,512,2.0,0.5
26,7,3,73.87173396674585,1.2267054352927667,1.4874347170627455,-0.019288504592332598,0.7503532750868455,-1.7293910089886417,0.1024390915991885,1.0120192307692308,0.9837781354782235,0.01266686232238117,233.35986855200895,-190.23301098875058,311,421,2.0,0.42857142857142855
27,8,3,74.68354430379746,1.1587627065079462,1.3170937088686383,-0.01647771436524176,0.7792809700668369,-1.9839082227845275,0.07973940225636497,0.9360189573459715,1.1653682999835524,0.014060775806801654,229.8878861697169,-198.39082227845276,295,395,2.0,0.375
28,9,3,77.13414634146342,1.1382856790979312,1.2201022888803064,-0.01437633767222694,0.7671542726691554,-2.2734776755293837,0.07188782109936734,0.7772511848341233,1.3411706255519262,0.014876737794459322,194.0900309852963,-170.51082566470376,253,328,2.0,0.3333333333333333
29,10,3,77.97101449275362,1.1367671739697771,1.2225516694063683,-0.013310471548960688,0.7450674011679547,-2.3198650698082313,0.06989387132972243,0.8175355450236966,1.4500659285966355,0.01514345071171579,200.42313091417984,-176.3097453054256,269,345,2.0,0.3
30,1,4,22.544529262086513,1.12586237613355,1.3483452695134492,-0.17149638504697234,0.6372924086705207,-0.16475648307634222,0.016061664019769894,4.667458432304038,0.11568397406375856,0.004139310364733138,282.3205370410407,-250.75936724219287,443,1965,2.0,4.0
31,2,4,36.12662942271881,1.1771230477481145,1.5684612850537043,-0.08176861385492618,0.8145849867633415,-0.3914011958971171,0.04428096320181955,2.557142857142857,0.2391772276179239,0.006899600078181362,316.0589748641765,-268.5012203854223,388,1074,2.0,2.0
32,3,4,45.49180327868852,1.13098676209494,1.3539494000775782,-0.051600980710057254,0.8589239385209536,-0.6338237710468502,0.04525408043686387,1.7345971563981042,0.37881952875018665,0.008794063974331932,286.02167152747757,-252.8956846476932,333,732,2.0,1.3333333333333333
33,4,4,53.72233400402414,1.240236954120425,1.554782269036297,-0.0390554702146128,0.9047597467248902,-0.8468607956869,0.09415064259066136,1.1975903614457832,0.4879852545460471,0.010328163298650939,241.57085237554568,-194.777983007987,267,497,2.0,1.0
34,5,4,59.70149253731343,1.194860044490544,1.3929696232785933,-0.031334190096375565,0.9177374417136419,-1.1378830776291065,0.08935305332178811,0.9686746987951808,0.6097642673391508,0.01173410665160019,220.25698601127405,-184.33705857591522,240,402,2.0,0.8
35,6,4,63.66459627329193,1.1847516529607771,1.330846331390141,-0.0243650914200421,0.9852235139979453,-1.4570533188378405,0.09781236666320324,0.7630331753554502,0.7807020300248518,0.013413178328980696,201.97082036957877,-170.47523830402733,205,322,2.0,0.6666666666666666
36,7,4,68.34532374100719,1.2208022806636485,1.3614029101532932,-0.020640549310569536,0.983302128507213,-1.7390520317471434,0.12154973245547432,0.6698795180722892,0.9100776531090748,0.014475547762181377,186.82740441637046,-153.03657879374862,190,278,2.0,0.5714285714285714
37,8,4,71.30044843049326,1.3255266369784942,1.4387852876389953,-0.019093797079107883,0.9947121388301349,-1.8643442545517177,0.17417577481023108,0.5360576923076923,0.9562394622846159,0.014743920068120102,158.15923007399144,-119.31803229130993,159,223,2.0,0.5
38,9,4,69.73684210526315,1.1238756820310012,1.1642734252060631,-0.018449337124220696,1.0461070153281216,-2.1448941952987086,0.08040928053316,0.7015384615384616,1.0404659563333358,0.016494629857463288,166.33101543717132,-147.9976994756109,159,228,2.0,0.4444444444444444
39,10,4,75.40106951871658,1.3652897920455704,1.449731841521381,-0.015357395594423845,1.055194856231815,-2.3690220518609815,0.21287411948171525,0.4572127139364303,1.1636907244657921,0.0167274477544607,148.7824747286859,-108.97501438560515,141,187,2.0,0.4
