Ticker,Timeframe,Risk,Reward,Win Rate (%),Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk:Reward Ratio,Profit Factor
DIA,5min,1,1,51.02040816326531,1.0437587751180706,-0.40050762358766406,0.11530168802815055,-0.10622369368720969,0.006799460249198599,3.6193181818181817,0.04976685641826553,0.0012321475153232743,37.47304860914893,-33.141792430409424,325,637,1.0,1.1306886520345636
DIA,5min,2,1,67.74193548387096,1.0551408598142817,-0.20195363079113132,0.10754739100360007,-0.19720569152785047,0.00923994502571279,3.346590909090909,0.09857510593771956,0.0015927542181536846,42.91140901043643,-37.469081390291585,399,589,0.5,1.1452484933765945
DIA,5min,3,1,75.8985200845666,1.0550564671522882,-0.1440192896919144,0.10211045745409308,-0.2738709079534652,0.011493384184618144,2.6875,0.13807224157744347,0.0018003672833827766,36.65765422601942,-31.221283506695034,359,473,0.3333333333333333,1.1741238702809453
DIA,5min,4,1,78.76543209876543,1.0048802384497244,-0.1037197059112692,0.09854507060625432,-0.3588192005618518,0.0014257438890762644,2.3011363636363638,0.19268992700583598,0.002114387472858895,31.435877523395128,-30.858451248319252,319,405,0.25,1.0187120951219912
DIA,5min,5,1,83.13253012048193,1.0275461697196782,-0.0716082830872642,0.10168895644147175,-0.4509351367186056,0.008475253980735793,1.8971428571428572,0.2781137405001495,0.0024068089523506717,28.0661519778462,-25.252367656241915,276,332,0.2,1.1114265545277997
DIA,5min,6,1,84.5303867403315,1.0018637512679252,-0.06138347438074031,0.09383616051650112,-0.5072978805658153,0.0008430491888499462,2.0685714285714285,0.325683251229977,0.002559913771257988,28.71386511804934,-28.40868131168566,306,362,0.16666666666666666,1.0107426248693263
DIA,5min,7,1,85.41666666666666,0.9611766686479368,-0.04600836185723443,0.09805896437947337,-0.683826054749004,-0.015965934243429583,1.3714285714285714,0.4381738129470993,0.0032541794800342062,20.10208769779204,-23.933911916215138,205,240,0.14285714285714285,0.8398997944073217
DIA,5min,8,1,87.68115942028986,1.0189214904875166,-0.06283599091963059,0.09093225018171719,-0.5894672286658167,0.007114923077310837,1.5771428571428572,0.31715662437338793,0.0025402353123944294,22.00560454397556,-20.04188577463777,242,276,0.125,1.0979807385102853
DIA,5min,9,1,90.3954802259887,1.0227826063203918,-0.04595120129825496,0.09593695077424354,-0.7659939327428306,0.013152628628535857,1.0172413793103448,0.43238203033593303,0.0029126678228518403,15.349912123878967,-13.021896856628121,160,177,0.1111111111111111,1.1787769702741802
DIA,5min,10,1,90.41916167664671,0.9916777014317674,-0.03989126107581425,0.09268807478557255,-0.9209335572995889,-0.0044253749950417245,0.9940476190476191,0.5024723011853613,0.003397934084105853,13.995899292621456,-14.734936916793423,151,167,0.1,0.9498445342287359
DIA,5min,1,2,35.4639175257732,1.0587200448154588,-0.4233873960075265,0.21040236188704306,-0.09717974680472462,0.011900918545757954,2.7556818181818183,0.04695697368891208,0.0016467102434190846,36.18920624457141,-30.417260749878807,172,485,2.0,1.1897588853301198
DIA,5min,2,2,53.86533665835411,1.078092800112075,-0.23208526190002995,0.197079864752035,-0.18896373634989583,0.018979949031692863,2.278409090909091,0.08535742574733701,0.002132045505520174,42.56925078643956,-34.95829122473072,216,401,1.0,1.2177154344524876
DIA,5min,3,2,62.31454005934718,1.0561627689345205,-0.1402330063475312,0.1885606929685587,-0.26794071488467763,0.01652603778351121,1.9257142857142857,0.1414413064283142,0.0024940482135937005,39.59774552339733,-34.028470790354056,210,337,0.6666666666666666,1.1636651487325131
DIA,5min,4,2,69.28327645051195,1.084367669094536,-0.11421450208286335,0.19490534966117404,-0.34833007555966805,0.028041225873202014,1.6742857142857144,0.17265397459738777,0.002807619726338155,39.565785981218326,-31.349706800370125,203,293,0.5,1.2620783420134316
DIA,5min,5,2,72.14611872146118,1.0336291197860967,-0.0757790527137558,0.18277161251407234,-0.41743826127497113,0.015589866846804527,1.2586206896551724,0.26186789912101593,0.0031175284584014787,28.877914777223427,-25.463733937773235,158,219,0.4,1.1340801332512178
DIA,5min,6,2,73.29842931937172,1.010717412464953,-0.08140745544941833,0.187050555925326,-0.4904481397406367,0.006147762841744331,1.0977011494252873,0.24492255975217345,0.003369074919654966,26.187077829545636,-25.01285512677247,140,191,0.3333333333333333,1.04694476887272
DIA,5min,7,2,74.48979591836735,1.0025291059980004,-0.0796735493191023,0.17011840667286085,-0.4895993827122484,0.001823052237883989,1.1264367816091954,0.2507955230862345,0.003272432998896287,24.837287374237683,-24.47996913561242,146,196,0.2857142857142857,1.014596351680258
DIA,5min,8,2,75.52083333333334,0.9805658339724986,-0.07749748082727516,0.16635161810224838,-0.5525074746168689,-0.009619097302952247,1.0909090909090908,0.25931411909787766,0.0034730538767264213,24.120984624826015,-25.96785130699284,145,192,0.25,0.9288787254542894
DIA,5min,9,2,77.19298245614034,0.9870724705031246,-0.05774035303389182,0.1648131517749623,-0.5882034642252676,-0.006927479944388315,0.9715909090909091,0.3475779718157219,0.003694322329907278,21.755336034295027,-22.939935104785437,132,171,0.2222222222222222,0.9483608360233201
DIA,5min,10,2,78.14207650273224,0.9924126506383321,-0.058342479801161425,0.1617953549268055,-0.594432581949623,-0.0035003689806105878,1.0397727272727273,0.3434033616344033,0.003638620101196429,23.136735754533184,-23.77730327798492,143,183,0.2,0.9730597067311317
DIA,5min,1,3,26.631853785900784,1.0465555374800195,-0.4092227012442817,0.3278378560404571,-0.10250883628161447,0.012100465590059938,2.239766081871345,0.04857745008684848,0.002096531725966145,33.439461316126625,-28.804982995133667,102,383,3.0,1.1608915485829625
DIA,5min,2,3,45.01424501424501,1.1169381849636648,-0.25317785227488726,0.2955034930124096,-0.18398450437781094,0.031853397581319665,1.9943181818181819,0.07773770828428427,0.002616558691538419,46.68955189596071,-35.50900934491751,158,351,1.5,1.3148649527910161
DIA,5min,3,3,54.60992907801418,1.115168122063464,-0.16194009591078637,0.28889128810100856,-0.261375717885501,0.03912470382344394,1.6022727272727273,0.12108646009798663,0.0030487905608239966,44.489258367555315,-33.45609188934413,154,282,1.0,1.3297804930325794
DIA,5min,4,3,55.140186915887845,1.0210009248307945,-0.12343547967813996,0.30071433572208256,-0.3465559572416035,0.010350092149587889,1.2228571428571429,0.16118946619225338,0.0035792204191752073,35.48429161520574,-33.269371895193935,118,214,0.75,1.0665753392336141
DIA,5min,5,3,65.1685393258427,1.0421973890049423,-0.07631597946788174,0.28141507133163474,-0.4575636831000818,0.024017977091373988,1.0229885057471264,0.25892113770750147,0.003995080802949871,32.64414827446963,-28.36894835220507,116,178,0.6,1.1506999790470644
DIA,5min,6,3,68.63905325443787,1.0538590783918425,-0.06608485065371567,0.26954748622848274,-0.4883680173047973,0.0318580087890517,0.9712643678160919,0.2978204492772487,0.004036522110303106,31.267508402503996,-25.88350491715426,116,169,0.5,1.208009058378392
DIA,5min,7,3,68.53932584269663,1.0496377362725107,-0.08821259209115102,0.2412202427898458,-0.4369999061108237,0.027847611675028458,1.0171428571428571,0.22356812577133262,0.003549247002233394,29.428869620361187,-24.471994742206128,122,178,0.42857142857142855,1.2025529561595598
DIA,5min,8,3,71.65354330708661,1.0143052726587525,-0.06859298123645363,0.251218534451206,-0.5923135233746174,0.012107084988767917,0.7298850574712644,0.28980996002471016,0.0043055985463272255,22.860886635059746,-21.323286841486226,91,127,0.375,1.0721089485408033
DIA,5min,9,3,75.3731343283582,1.04795108357966,-0.062399165013096766,0.2748679368658596,-0.6949426032456602,0.03603399788317189,0.7701149425287356,0.3147423529953674,0.004645650278558568,27.761661623451815,-22.933105907106786,101,134,0.3333333333333333,1.2105495756180455
DIA,5min,10,3,75.59055118110236,1.0273611622016217,-0.05274223004598175,0.25609605332536156,-0.701453345866539,0.022363522813952798,0.7257142857142858,0.3749626201739865,0.004713014291756955,24.58522111923471,-21.745053721862707,96,127,0.3,1.1306121122394133
DIA,5min,1,4,22.53886010362694,1.0779630442702257,-0.43634132990245195,0.40895175934095923,-0.09353455328681891,0.019720133756229538,2.1931818181818183,0.045383733571295666,0.0023269732916854874,35.578803062663454,-27.966831432758855,87,386,4.0,1.272178550087313
