timestamp,open,high,low,close,volume,trade_count,vwap
2015-12-01 11:00:00+00:00,178.1,178.14,177.93,177.96,2100,6,178.02619
2015-12-01 12:00:00+00:00,177.9,177.9,177.9,177.9,200,1,177.9
2015-12-01 13:00:00+00:00,177.9,177.9,177.73,177.78,1800,8,177.820556
2015-12-01 14:00:00+00:00,177.86,178.87,177.751,178.7111,911712,4494,178.531021
2015-12-01 15:00:00+00:00,178.71,178.74,177.64,178.42,1610386,7602,178.155169
2015-12-01 16:00:00+00:00,178.42,178.47,178.0,178.18,606605,3356,178.257302
2015-12-01 17:00:00+00:00,178.17,178.4713,178.14,178.45,248879,1574,178.282568
2015-12-01 18:00:00+00:00,178.44,178.44,178.04,178.15,201579,1276,178.17453
2015-12-01 19:00:00+00:00,178.13,178.43,178.12,178.3059,177499,1029,178.322862
2015-12-01 20:00:00+00:00,178.31,178.9,178.28,178.84,1468942,4282,178.117058
2015-12-01 21:00:00+00:00,178.82,178.82,178.68,178.76,75115,47,178.795317
2015-12-01 23:00:00+00:00,178.74,178.74,178.74,178.74,275,1,178.74
2015-12-02 00:00:00+00:00,178.7,178.76,178.54,178.76,1610,6,178.632391
2015-12-02 09:00:00+00:00,178.77,178.77,178.77,178.77,980,2,178.77
2015-12-02 13:00:00+00:00,178.56,178.69,178.56,178.6,2425,5,178.623093
2015-12-02 14:00:00+00:00,178.6,179.01,178.55,178.94,444992,2453,178.788739
2015-12-02 15:00:00+00:00,178.94,179.04,178.67,178.81,572408,3032,178.84581
2015-12-02 16:00:00+00:00,178.8,178.8,178.35,178.46,625296,2905,178.542009
2015-12-02 17:00:00+00:00,178.47,178.69,178.29,178.53,981626,2281,178.702062
2015-12-02 18:00:00+00:00,178.51,178.615,178.22,178.28,242536,1824,178.40683
2015-12-02 19:00:00+00:00,178.29,178.29,177.16,177.24,2275765,7865,177.931727
2015-12-02 20:00:00+00:00,177.24,177.73,177.08,177.31,1674227,8615,177.370983
2015-12-02 21:00:00+00:00,177.32,177.61,177.29,177.29,565187,41,178.713449
2015-12-03 00:00:00+00:00,177.59,177.65,177.5,177.5,550,3,177.568182
2015-12-03 09:00:00+00:00,178.52,178.52,178.52,178.52,300,2,178.52
2015-12-03 10:00:00+00:00,178.72,178.72,178.72,178.72,100,1,178.72
2015-12-03 12:00:00+00:00,178.46,178.53,178.33,178.33,300,3,178.44
2015-12-03 13:00:00+00:00,178.11,178.2,176.99,177.45,39343,50,177.148539
2015-12-03 14:00:00+00:00,177.65,178.0,176.8,176.94,940540,4959,177.220942
2015-12-03 15:00:00+00:00,176.91,176.92,176.21,176.66,1108085,6925,176.561646
2015-12-03 16:00:00+00:00,176.66,177.36,176.59,176.87,555857,3659,176.991662
2015-12-03 17:00:00+00:00,176.84,176.88,175.76,175.92,754805,4290,176.279542
2015-12-03 18:00:00+00:00,175.91,176.28,175.2501,175.2501,827621,4059,175.814252
2015-12-03 19:00:00+00:00,175.27,175.31,174.26,174.91,1007959,5853,174.812152
2015-12-03 20:00:00+00:00,174.9,175.0,174.29,174.83,1665242,9177,175.100964
2015-12-03 21:00:00+00:00,174.84,175.2,174.82,175.18,98158,68,174.853028
2015-12-03 23:00:00+00:00,175.35,175.35,175.35,175.35,100,1,175.35
2015-12-04 00:00:00+00:00,175.3,175.36,175.3,175.36,600,2,175.35
2015-12-04 09:00:00+00:00,175.25,175.25,175.25,175.25,221,3,175.302262
2015-12-04 12:00:00+00:00,175.4,175.4,175.38,175.38,1100,2,175.398182
2015-12-04 13:00:00+00:00,175.25,175.9,175.25,175.32,6745,17,175.386761
2015-12-04 14:00:00+00:00,174.9,176.87,174.9,176.55,1147050,6194,176.163882
2015-12-04 15:00:00+00:00,176.57,177.51,176.43,177.47,1268665,6935,176.9703
2015-12-04 16:00:00+00:00,177.47,177.59,176.95,177.05,659756,3793,177.323189
2015-12-04 17:00:00+00:00,177.06,178.06,176.89,177.9999,812714,4772,177.608285
2015-12-04 18:00:00+00:00,178.04,178.49,177.98,178.25,563211,3304,178.249957
2015-12-04 19:00:00+00:00,178.27,178.56,178.02,178.53,419186,2749,178.256962
2015-12-04 20:00:00+00:00,178.54,178.68,178.14,178.44,1236430,7410,178.409872
2015-12-04 21:00:00+00:00,178.43,178.44,178.25,178.33,136384,68,178.421007
2015-12-04 22:00:00+00:00,178.37,178.37,178.37,178.37,100,1,178.37
2015-12-04 23:00:00+00:00,178.37,178.37,178.37,178.37,100,1,178.37
2015-12-05 00:00:00+00:00,178.42,178.42,178.42,178.42,158,1,178.42
